product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,month_year_dt,product_id_encoded,product_category_encoded,price_to_comp1_ratio,price_to_comp2_ratio,price_to_comp3_ratio,avg_competitor_price,price_vs_avg_comp,total_freight,avg_competitor_score,price_per_gram,demand_indicator
bed1,bed_bath_table,01-05-2017,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,2017-05-01,0,0,0.5055005500550055,0.2127314814814815,0.9787007454739084,116.94999999999999,-70.99999999999999,38.87189655,4.1000000000000005,0.13091168091168093,57
bed1,bed_bath_table,01-06-2017,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,2017-06-01,0,0,0.5055005500550055,0.21880952380952381,0.9787007454739084,114.94999999999999,-68.99999999999999,49.024549019999995,4.1000000000000005,0.13091168091168093,183
bed1,bed_bath_table,01-07-2017,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,2017-07-01,0,0,0.5055005500550055,0.22305825242718447,0.9787007454739084,113.61666666666666,-67.66666666666666,51.029765530000006,4.1000000000000005,0.13091168091168093,738
bed1,bed_bath_table,01-08-2017,4,183.8,14.2875,45.95,39,161,2,350,4.0,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,2017-08-01,0,0,0.5055005500550055,0.2291658517750912,0.9787007454739084,111.78660130000002,-65.83660130000001,48.35714138,4.1000000000000005,0.13091168091168093,360
bed1,bed_bath_table,01-09-2017,2,91.9,15.1,45.95,39,161,2,350,4.0,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,2017-09-01,0,0,0.5055005500550055,0.27950341023874836,0.9787007454739084,99.7495699,-53.799569899999995,58.201209240000004,4.1000000000000005,0.13091168091168093,108
bed1,bed_bath_table,01-10-2017,3,137.85,15.1,45.95,39,161,2,350,4.0,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,2017-10-01,0,0,0.5055005500550055,0.9787007454739084,0.9787007454739084,60.6,-14.649999999999999,51.77214286,3.966666666666667,0.13091168091168093,150
bed1,bed_bath_table,01-11-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4.0,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,2017-11-01,0,0,0.4458945894389439,0.9759220750782936,0.9759220750782936,56.98787878666667,-16.456060606666668,47.95945454,3.966666666666667,0.11547526547008548,1067
bed1,bed_bath_table,01-12-2017,6,239.94,15.23,39.99,39,161,2,350,4.0,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,2017-12-01,0,0,0.4468743837713017,0.9756038058062942,0.9756038058062942,56.15607843000001,-16.166078430000006,49.35833333000001,3.966666666666667,0.11393162393162394,246
bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,2018-01-01,0,0,0.45494880546075084,0.9756038058062942,0.9756038058062942,55.62666666666667,-15.63666666666667,52.45089783,3.966666666666667,0.11393162393162394,1178
bed1,bed_bath_table,01-02-2018,18,719.82,13.74944444,39.99,39,161,2,350,4.0,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,2018-02-01,0,0,0.45494880546075084,0.9756038058062942,0.9756038058062942,55.62666666666667,-15.63666666666667,46.707979789999996,3.966666666666667,0.11393162393162394,1116
bed1,bed_bath_table,01-03-2018,17,679.83,16.46235294,39.99,39,161,2,350,4.0,43,22,9,1,3,2018,15.88785047,3800,86.9,3.9,19.98235294,39.99,4.0,16.46235294,39.99,4.0,16.46235294,39.99,2018-03-01,0,0,0.45494880546075084,0.9756038058062942,0.9756038058062942,55.62666666666667,-15.63666666666667,52.90705882,3.966666666666667,0.11393162393162394,731
bed1,bed_bath_table,01-04-2018,13,519.87,14.23615385,39.99,39,161,2,350,4.0,34,21,9,1,4,2018,12.14953271,3800,85.045,3.9,12.94,39.99,4.0,14.23615385,39.99,4.0,14.23615385,39.99,2018-04-01,0,0,0.4647568132953687,0.9756038058062942,0.9756038058062942,55.00833333333333,-15.01833333333333,41.4123077,3.966666666666667,0.11393162393162394,442
bed1,bed_bath_table,01-05-2018,19,759.81,10.25631579,39.99,39,161,2,350,4.0,57,23,8,3,5,2018,10.26739356,3800,83.64961538,3.9,16.78038462,39.99,4.0,10.25631579,39.99,4.0,10.25631579,39.99,2018-05-01,0,0,0.4724179763898651,0.9756038058062942,0.9756038058062942,54.54320512666667,-14.553205126666668,37.293016200000004,3.966666666666667,0.11393162393162394,1083
bed1,bed_bath_table,01-06-2018,5,199.95,13.998,39.99,39,161,2,350,4.0,43,21,9,0,6,2018,6.503115265,3800,79.9,3.9,23.00565217,39.99,4.0,13.998,39.99,4.0,13.998,39.99,2018-06-01,0,0,0.49431396786155746,0.9756038058062942,0.9756038058062942,53.293333333333344,-13.303333333333342,51.00165217,3.966666666666667,0.11393162393162394,215
bed1,bed_bath_table,01-07-2018,8,319.92,20.4175,39.99,39,161,2,350,4.0,26,22,9,1,7,2018,12.07165109,3800,77.93333333,3.9,19.952,39.99,4.0,20.4175,39.99,4.0,20.4175,39.99,2018-07-01,0,0,0.5066300675889625,0.9756038058062942,0.9756038058062942,52.63777777666667,-12.647777776666665,60.787000000000006,3.966666666666667,0.11393162393162394,208
bed1,bed_bath_table,01-08-2018,8,313.92,16.33375,39.24,39,161,2,350,4.0,15,23,8,1,8,2018,9.293873313,3800,74.0,3.9,17.25571429,39.24,4.0,16.33375,39.24,4.0,16.33375,39.99,2018-08-01,0,0,0.5232,0.9751491053677932,0.9751491053677932,50.826666666666675,-11.586666666666673,49.92321428999999,3.966666666666667,0.1117948717948718,120
garden5,garden_tools,01-03-2017,6,419.4,32.68,69.9,36,450,1,9000,4.1,21,23,8,1,3,2017,9.107142857,19656,69.9,4.1,32.68,69.9,4.1,32.68,69.9,4.1,32.68,69.85,2017-03-01,27,5,0.9858956276445698,0.9858956276445698,0.9858956276445698,69.9,0.0,98.03999999999999,4.1,0.007765803799577825,126
garden5,garden_tools,01-04-2017,3,247.9,34.21666667,82.63333333,36,450,1,9000,4.1,17,20,10,2,4,2017,7.678571429,19656,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,69.9,2017-04-01,27,5,0.9880430450373872,0.9880430450373872,0.9880430450373872,82.63333333,0.0,102.65000001000001,4.1,0.009180461429841129,51
garden5,garden_tools,01-05-2017,20,1956.0,39.8975,97.58823529,36,450,1,9000,4.1,34,23,8,1,5,2017,19.04761905,19656,59.9,4.1,19.7325,59.9,4.2,26.24666667,97.58823529,4.1,39.8975,82.63333333,2017-05-01,27,5,1.6024340770114942,1.6024340770114942,0.9898568019088843,72.46274509666667,25.125490193333334,85.87666666999999,4.133333333333334,0.010841932595267192,680
garden5,garden_tools,01-06-2017,8,712.0,40.80125,89.0,36,450,1,9000,4.1,26,22,8,1,6,2017,7.619047619,19656,59.9,4.1,17.67,59.9,4.2,16.26,89.0,4.1,40.80125,97.58823529,2017-06-01,27,5,1.4614121510673235,1.4614121510673235,0.9888888888888889,69.60000000000001,19.39999999999999,74.73125000000002,4.133333333333334,0.009887790245528275,208
garden5,garden_tools,01-07-2017,10,890.0,39.156,89.0,36,450,1,9000,4.1,74,21,10,1,7,2017,9.523809524,19656,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,89.0,2017-07-01,27,5,1.4614121510673235,1.4614121510673235,1.4614121510673235,59.9,29.1,48.13031521,4.133333333333334,0.009887790245528275,740
garden5,garden_tools,01-08-2017,7,683.0,39.5,97.33333333,36,450,1,9000,4.1,113,23,8,1,8,2017,6.666666667,19656,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,89.0,2017-08-01,27,5,1.5982484947454845,1.5982484947454845,1.5982484947454845,59.9,37.43333333,53.89385358,4.133333333333334,0.01081361330185535,791
garden5,garden_tools,01-09-2017,9,891.0,39.01888889,99.0,36,450,1,9000,4.1,115,21,9,1,9,2017,8.571428571,19656,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,97.33333333,2017-09-01,27,5,1.625615763546798,1.625615763546798,1.625615763546798,59.9,39.1,50.29340712,4.133333333333334,0.010998777913565159,1035
